"iso3","month","access","percapita_nets","loess_predicted_access"
"UGA",2,0.690187461851546,0.431410605606308,0.635511122122359
"SEN",5,0.665058942078357,0.433381551778504,0.637149738827907
"BFA",6,0.639330720069021,0.433555008314731,0.637293062759237
"SLE",2,0.62291353184225,0.433943705682316,0.637613728379547
"ZMB",9,0.674506617773758,0.435333518753324,0.638754651780176
"MWI",4,0.710135420409655,0.438681157887782,0.641468422558708
"GIN",12,0.629606073409132,0.440670926512687,0.64306000262119
"GIN",11,0.629620029352368,0.441961456776658,0.644084354660698
"GIN",10,0.629055078082195,0.442584553166629,0.644576806858052
"SSD",5,0.637759565540038,0.443424659618253,0.645238650572481
"ZMB",10,0.680715237464734,0.444733111268525,0.646264789549202
"ZMB",11,0.681098115871083,0.444885954140339,0.646384295177074
"ZMB",12,0.683420246375038,0.446220706125383,0.647424843552462
"BFA",5,0.646343095870471,0.447904493053793,0.648729979857341
"BEN",1,0.676802220558989,0.449696605911487,0.650110538070753
"GNB",4,0.633170975682878,0.44995243639887,0.650306942448886
"COD",9,0.613063451635275,0.451981677468531,0.651859260508039
"COD",10,0.612985696941731,0.452017687764798,0.651886722182578
"COD",12,0.614214496042274,0.452234248443816,0.652051812735139
"COD",11,0.613617451505929,0.452293817829426,0.652097206305899
"COD",8,0.614015204106924,0.452414859584576,0.652189419954385
"COD",7,0.614579129008294,0.453066010443691,0.652684954402272
"COD",1,0.614850044261165,0.453908773421503,0.653325016198332
"COD",6,0.61514797354356,0.454001515903711,0.653395366295672
"TCD",6,0.627047926182333,0.454052294271611,0.653433877321187
"COD",2,0.614443567459061,0.454118067524988,0.65348375328409
"COD",3,0.614120796214967,0.454538351136928,0.653802260420848
